location_id,category,name,description,reviews_url,address,city,state,country,working_hours,popular_hours,timezone,email,phone,website,amenities,cuisine,ranking,total_rating,num_reviews,price_level,source
4b75a0d3f964a5202c182ee3,restaurant,Zuma,"The Izakaya inspired Japanese restaurant created by Rainer Becker, a success story from Knightsbridge, London to DIFC, Dubai.",http://4sq.com/af8c2H,"Gate Village 06, DIFC",دبي,دبي,الإمارات العربية المتحدة,"Mon–Wed, Sat–Sun: 12:30 PM–3:00 PM, 7:00 PM–1:00 AM; Thu: 12:30 PM–3:00 PM, 7:00 PM–2:00 AM; Fri: 12:30 PM–4:00 PM, 7:00 PM–2:00 AM","Today: 7:00 PM–1:00 AM; Thu: 2:00 PM–3:00 PM, 7:00 PM–2:00 AM; Fri: 7:00 PM–1:00 AM; Sat: 2:00 PM–3:00 PM, 7:00 PM–1:00 AM; Sun: 7:00 PM–1:00 AM; Mon–Tue: 7:00 PM–1:00 AM",Asia/Dubai,,+971 4 425 5660,http://www.zumarestaurant.com/zuma-landing/dubai/en/welcome,"Reservations: Yes, Credit Cards: Yes (incl. American Express & MasterCard), Outdoor Seating: No","Japanese, Sushi, Brunch, Lunch, Dinner, Happy Hour, Beer, Wine, Full Bar, Cocktails",,9.3,540,$$$,FourSquare
59469de5a4236221ad2ea8c6,restaurant,Saddle Dubai,,http://4sq.com/2soYMSM,AlKhawaneej - Last Exit,دبي,دبي,الإمارات العربية المتحدة,,"Today: 1:00 PM–2:00 PM, 10:00 PM–2:00 AM; Thu: 8:00 PM–3:00 AM; Fri: 10:00 AM–2:00 AM; Sat: 10:00 AM–1:00 PM, 3:00 PM–1:00 AM; Sun: 5:00 PM–1:00 AM; Mon: 1:00 PM–2:00 PM, 4:00 PM–5:00 PM, 7:00 PM–1:00 AM; Tue: Noon–1:00 PM, 6:00 PM–1:00 AM",Asia/Dubai,,+971 54 441 0926,,Credit Cards: Yes (incl. Visa & MasterCard),"Desserts, Dessert",,8.0,21,$,FourSquare
650b0097fec26e2158d77a58,restaurant,Zenon Restaurant,,https://4sq.com/3PVWkzs,Mohammed bin Rashid Blvd (Downtown Dubai),دبي,دبي,الإمارات العربية المتحدة,Mon–Sun: Noon–3:00 AM,"Today: 8:00 PM–1:00 AM; Thu: 7:00 PM–1:00 AM; Fri: 7:00 PM–3:00 AM; Sat: 4:00 PM–5:00 PM, 7:00 PM–1:00 AM; Sun: 9:00 PM–1:00 AM; Mon: 10:00 PM–2:00 AM; Tue: 9:00 PM–2:00 AM",Asia/Dubai,,+971 4 837 7222,https://zenonrestaurant.com,"Reservations: Yes, Credit Cards: Yes","Restaurant, Lunch, Dinner, Dessert",,8.8,5,,FourSquare
61f12500ba855b11cf41493a,restaurant,Nomad Cafe,,https://4sq.com/3AzR4s7,25 Hours Hotel (One Center),دبي,دبي,الإمارات العربية المتحدة,,"Today: 9:00 AM–10:00 AM, Noon–5:00 PM, 7:00 PM–9:00 PM; Thu: 10:00 AM–10:00 PM; Fri: 10:00 AM–11:00 PM; Sat: 11:00 AM–5:00 PM, 9:00 PM–10:00 PM; Sun: 11:00 AM–3:00 PM, 6:00 PM–7:00 PM; Mon: 1:00 PM–4:00 PM, 7:00 PM–9:00 PM; Tue: 10:00 AM–11:00 AM, 1:00 PM–7:00 PM, 9:00 PM–10:00 PM",Asia/Dubai,,,,,Café,,8.1,4,$,FourSquare
5f6f24ab9e02805f02853f17,restaurant,SAL,,https://4sq.com/3czFJMG,Burj Al Arab,دبي,دبي,الإمارات العربية المتحدة,,Today: 1:00 PM–6:00 PM; Thu–Fri: 1:00 PM–7:00 PM; Sat: 1:00 PM–8:00 PM; Sun: 2:00 PM–7:00 PM; Mon–Tue: 2:00 PM–6:00 PM,Asia/Dubai,,+971 4 301 7600,,"Reservations: Yes, Outdoor Seating: Yes","Restaurant, Beach Bar, Dinner, Beer, Wine, Full Bar, Cocktails",,9.3,19,,FourSquare
5be97f03f2554e002c7b5d82,restaurant,Moishi,,https://4sq.com/2qIxUNt,دبي,دبي,دبي,الإمارات العربية المتحدة,,,Asia/Dubai,,,,,Ice Cream,,8.7,1,$,FourSquare
4b7d809af964a520c2c22fe3,restaurant,Special Ostadi Kabab (مطعم الأستاد للكباب الخاص),,http://4sq.com/a35kwJ,At Mankhool Rd (Al Monirah St),دبي,دبي,الإمارات العربية المتحدة,Mon–Sun: 4:00 PM–1:00 AM,"Today: 1:00 PM–4:00 PM, 6:00 PM–Midnight; Thu: 1:00 PM–1:00 AM; Fri: 6:00 PM–1:00 AM; Sat: 1:00 PM–Midnight; Sun: 2:00 PM–Midnight; Mon: 2:00 PM–5:00 PM, 7:00 PM–Midnight; Tue: 1:00 PM–5:00 PM, 7:00 PM–Midnight",Asia/Dubai,,+971 4 397 2111,,"Reservations: No, Credit Cards: Yes, Outdoor Seating: No","Kebab, Persian, Lunch, Dinner",,9.0,196,$$,FourSquare
5c2b52e161f070002cffa386,restaurant,al qbabh restaurant,,https://4sq.com/2F1dMzp,"5HM9+98 Al Awir, Dubai - United Arab Emirates",دبي,دبي,الإمارات العربية المتحدة,,"Today: 2:00 PM–5:00 PM; Thu: 1:00 PM–8:00 PM; Fri: Noon–10:00 PM; Sat: 1:00 PM–6:00 PM; Sun: 1:00 PM–8:00 PM, 10:00 PM–11:00 PM; Mon: 1:00 PM–8:00 PM; Tue: 1:00 PM–5:00 PM, 9:00 PM–11:00 PM",Asia/Dubai,,,,,"Seafood, Dinner",,9.1,7,$$$,FourSquare
61616a1e899213019a8c0e19,restaurant,Three By Eva Halasa,,https://4sq.com/3v3ROTG,Al Wasl Road,دبي,دبي,الإمارات العربية المتحدة,"Mon–Thu, Sun: 8:00 AM–Midnight; Fri–Sat: 8:00 AM–12:30 AM",Today: 10:00 AM–5:00 PM; Thu: 10:00 AM–5:00 PM; Fri–Sat: 10:00 AM–6:00 PM; Sun: 10:00 AM–5:00 PM; Mon: 11:00 AM–5:00 PM; Tue: 11:00 AM–4:00 PM,Asia/Dubai,,,,"Credit Cards: Yes, Outdoor Seating: Yes, Take-out: Take-out","Bakery, Middle Eastern, Coffee Shop, Breakfast, Dinner",,9.3,71,$,FourSquare
53993fd1498e67ef85f8611b,restaurant,Home Bakery (هوم بيكري),,http://4sq.com/SP5Pkg,The Galleria Mall (Al Wasl Rd),دبي,دبي,الإمارات العربية المتحدة,"Mon–Wed, Sun: 10:00 AM–2:00 AM; Thu–Sat: 10:00 AM–12:30 AM","Today: Noon–1:00 PM, 5:00 PM–Midnight; Thu–Fri: 11:00 AM–Midnight; Sat: 10:00 AM–Midnight; Sun: 11:00 AM–11:00 PM; Mon: 5:00 PM–11:00 PM; Tue: 6:00 PM–11:00 PM",Asia/Dubai,,+971 4 344 4462,http://homebakery.ae,"Reservations: Yes, Credit Cards: Yes (incl. Visa & MasterCard), Outdoor Seating: Yes, Jukebox: Jukebox, Wi-Fi: Yes, Take-out: Take-out, Delivery: Delivery, Street Parking: Street, Public Lot: Public Lot, Private Lot: Private Lot, Restroom: Yes, Wheelchair Accessible: Yes, ATM: Yes","Bakery, Desserts, Breakfast, Brunch, Dessert",,8.8,335,$$$,FourSquare
